Région	X	Y	diamètre	Nombre de départements dans la Région	Chef-lieu de région	Superficie (km²)	Population en 2019 	Densité (hab./km²)	Code INSEE5
Grand Est	748	279	213	10	Strasbourg	57441	5548090	97	44
Nouvelle-Aquitaine	379	629	233	12	Bordeaux	84036	5994336	70	75
Auvergne-Rhône-Alpes	714	648	192	12	Lyon	69711	8037059	112	84
Bourgogne-Franche-Comté	690	471	162	8	Dijon	47784	2813289	59	27
Bretagne	168	319	214	4	Rennes	27208	3336643	120	53
Centre-Val de Loire	495	445	165	6	Orléans	39151	2582522	66	24
Île-de-France	555	310	86	8	Paris	12011	12246234	1001	11
Occitanie	539	850	271	13	Toulouse	72724	5903190	79	76
Hauts-de-France	575	169	177	5	Lille	31806	6023336	189	32
Normandie	378	210	233	5	Rouen	29907	3342467	112	28
Pays de la Loire	341	415	121	5	Nantes	32082	3787411	115	52
Provence-Alpes-Côte d'Azur	813	823	181	6	Marseille	31400	5065723	159	93
Corse	1040	944	165	2	Ajaccio	8680	337796	37	94
